"data" "Nivel_emprego"
"229" 2000.01 "83,5899"
"230" 2000.02 "83,9644"
"231" 2000.03 "84,3555"
"232" 2000.04 "84,7383"
"233" 2000.05 "85,2459"
"234" 2000.06 "86,0281"
"235" 2000.07 "86,2029"
"236" 2000.08 "86,5940"
"237" 2000.09 "87,0683"
"238" 2000.1 "87,6092"
"239" 2000.11 "87,2680"
"240" 2000.12 "86,0864"
"241" 2001.01 "86,6855"
"242" 2001.02 "87,1349"
"243" 2001.03 "87,4927"
"244" 2001.04 "87,8422"
"245" 2001.05 "88,3166"
"246" 2001.06 "88,8242"
"247" 2001.07 "88,9823"
"248" 2001.08 "88,9323"
"249" 2001.09 "89,0239"
"250" 2001.1 "89,2735"
"251" 2001.11 "88,8158"
"252" 2001.12 "87,4844"
"253" 2002.01 "87,7008"
"254" 2002.02 "88,0752"
"255" 2002.03 "88,2666"
"256" 2002.04 "88,8075"
"257" 2002.05 "89,3235"
"258" 2002.06 "89,7978"
"259" 2002.07 "89,9226"
"260" 2002.08 "89,9060"
"261" 2002.09 "90,1057"
"262" 2002.1 "90,5384"
"263" 2002.11 "90,0724"
"264" 2002.12 "88,5079"
"265" 2003.01 "88,9989"
"266" 2003.02 "89,5565"
"267" 2003.03 "89,9476"
"268" 2003.04 "90,1889"
"269" 2003.05 "90,8130"
"270" 2003.06 "91,3040"
"271" 2003.07 "91,6202"
"272" 2003.08 "91,7700"
"273" 2003.09 "92,2194"
"274" 2003.1 "92,8102"
"275" 2003.11 "92,3608"
"276" 2003.12 "90,3803"
"277" 2004.01 "91,1542"
"278" 2004.02 "91,9531"
"279" 2004.03 "92,5689"
"280" 2004.04 "93,3344"
"281" 2004.05 "94,2914"
"282" 2004.06 "95,6062"
"283" 2004.07 "96,4217"
"284" 2004.08 "97,0875"
"285" 2004.09 "97,8614"
"286" 2004.1 "98,7185"
"287" 2004.11 "98,7102"
"288" 2004.12 "97,3121"
"289" 2005.01 "97,6117"
"290" 2005.02 "98,3357"
"291" 2005.03 "98,7851"
"292" 2005.04 "99,3842"
"293" 2005.05 "99,7254"
"294" 2005.06 "100,0000"
"295" 2005.07 "100,4209"
"296" 2005.08 "100,6527"
"297" 2005.09 "100,9288"
"298" 2005.1 "101,0709"
"299" 2005.11 "99,8489"
"300" 2005.12 "98,3571"
"301" 2006.01 "98,2597"
"302" 2006.02 "98,4680"
"303" 2006.03 "99,0408"
"304" 2006.04 "100,8273"
"305" 2006.05 "101,3652"
"306" 2006.06 "101,3812"
"307" 2006.07 "101,3589"
"308" 2006.08 "101,2601"
"309" 2006.09 "101,5600"
"310" 2006.1 "101,7804"
"311" 2006.11 "100,1600"
"312" 2006.12 "98,1694"
"313" 2007.01 "98,8928"
"314" 2007.02 "99,7965"
"315" 2007.03 "100,6095"
"316" 2007.04 "102,9318"
"317" 2007.05 "104,0645"
"318" 2007.06 "104,3529"
"319" 2007.07 "104,6730"
"320" 2007.08 "104,9661"
"321" 2007.09 "105,7202"
"322" 2007.1 "106,0842"
"323" 2007.11 "106,0382"
"324" 2007.12 "102,5726"
"325" 2008.01 "103,2515"
"326" 2008.02 "103,9704"
"327" 2008.03 "105,3220"
"328" 2008.04 "107,9552"
"329" 2008.05 "108,3444"
"330" 2008.06 "108,5978"
"331" 2008.07 "108,8170"
"332" 2008.08 "108,9994"
"333" 2008.09 "109,3721"
"334" 2008.1 "109,1143"
"335" 2008.11 "107,7176"
"336" 2008.12 "102,2390"
"337" 2009.01 "100,8260"
"338" 2009.02 "99,1421"
"339" 2009.03 "99,8307"
"340" 2009.04 "100,8891"
"341" 2009.05 "100,7679"
"342" 2009.06 "100,3408"
"343" 2009.07 "100,1359"
"344" 2009.08 "100,1464"
"345" 2009.09 "100,7089"
"346" 2009.1 "101,1249"
"347" 2009.11 "101,2301"
"348" 2009.12 "97,5335"
"349" 2010.01 "97,9787"
"350" 2010.02 "99,0678"
"351" 2010.03 "101,3940"
"352" 2010.04 "102,8449"
"353" 2010.05 "103,4917"
"354" 2010.06 "104,1327"
"355" 2010.07 "104,6420"
"356" 2010.08 "104,9740"
"357" 2010.09 "105,5301"
"358" 2010.1 "105,5481"
"359" 2010.11 "104,6794"
"360" 2010.12 "102,1821"
"361" 2011.01 "102,7777"
"362" 2011.02 "103,5947"
"363" 2011.03 "104,3304"
"364" 2011.04 "106,2317"
"365" 2011.05 "106,8422"
"366" 2011.06 "106,8030"
"367" 2011.07 "106,9438"
"368" 2011.08 "106,4333"
"369" 2011.09 "106,1892"
"370" 2011.1 "105,4694"
"371" 2011.11 "103,5795"
"372" 2011.12 "102,1262"
"373" 2012.01 "102,2121"
"374" 2012.02 "102,3151"
"375" 2012.03 "102,3010"
"376" 2012.04 "102,9183"
"377" 2012.05 "103,8004"
"378" 2012.06 "103,5275"
"379" 2012.07 "103,5723"
"380" 2012.08 "103,2085"
"381" 2012.09 "103,1835"
"382" 2012.1 "103,0489"
"383" 2012.11 "102,7297"
"384" 2012.12 "100,0708"
"385" 2013.01 "100,4663"
"386" 2013.02 "100,8448"
"387" 2013.03 "101,3860"
"388" 2013.04 "102,4312"
"389" 2013.05 "102,5860"
"390" 2013.06 "102,3958"
"391" 2013.07 "102,1888"
"392" 2013.08 "101,6252"
"393" 2013.09 "101,6540"
"394" 2013.1 "101,4725"
"395" 2013.11 "100,9866"
"396" 2013.12 "98,6767"
"397" 2014.01 "98,9229"
"398" 2014.02 "99,2082"
"399" 2014.03 "99,4439"
"400" 2014.04 "99,7765"
"401" 2014.05 "99,2951"
"402" 2014.06 "98,6479"
"403" 2014.07 "98,0432"
"404" 2014.08 "97,4585"
"405" 2014.09 "97,2188"
"406" 2014.1 "96,7333"
"407" 2014.11 "95,3388"
"408" 2014.12 "93,7849"
"409" 2015.01 "93,8974"
"410" 2015.02 "93,5973"
"411" 2015.03 "92,9564"
"412" 2015.04 "93,1712"
"413" 2015.05 "92,5521"
"414" 2015.06 "91,4416"
"415" 2015.07 "90,3603"
"416" 2015.08 "89,3720"
"417" 2015.09 "88,6266"
"418" 2015.1 "87,7587"
"419" 2015.11 "87,0464"
"420" 2015.12 "85,0703"
"421" 2016.01 "84,5186"
"422" 2016.02 "84,0346"
"423" 2016.03 "83,9408"
"424" 2016.04 "83,8208"
"425" 2016.05 "83,5483"
"426" 2016.06 "82,9660"
"427" 2016.07 "82,7310"
"428" 2016.08 "82,3326"
"429" 2016.09 "81,9523"
"430" 2016.1 "81,7228"
"431" 2016.11 "80,7835"
"432" 2016.12 "79,4338"
"433" 2017.01 "79,6586"
"434" 2017.02 "79,5494"
"435" 2017.03 "79,8930"
"436" 2017.04 "80,2539"
"437" 2017.05 "80,1578"
"438" 2017.06 "79,7959"
"439" 2017.07 "79,7249"
"440" 2017.08 "79,6310"
"441" 2017.09 "79,6881"
"442" 2017.1 "79,7479"
